% Base Parameters: useNetwork = true, networkType = random, networkSplit = 20,20,60, meanK = 3, active = 1, distance = .2, initialProtesters = .2, initialSensitivity = .7, n = 100, gridWidth = 100, gridHeight = 100, 

% Random Parameters: 
% Test Parameters:
% ,,Results
Seed,Timestep,from,to,info,
2,1000,structures.Agent@5680a178,structures.Agent@6a6824be,null,
2,1000,structures.Agent@3b22cdd0,structures.Agent@5680a178,null,
2,1000,structures.Agent@1e81f4dc,structures.Agent@21588809,null,
2,1000,structures.Agent@4d591d15,structures.Agent@1055e4af,null,
2,1000,structures.Agent@4d591d15,structures.Agent@1f89ab83,null,
2,1000,structures.Agent@65ae6ba4,structures.Agent@12bb4df8,null,
2,1000,structures.Agent@65ae6ba4,structures.Agent@6bc168e5,null,
2,1000,structures.Agent@65ae6ba4,structures.Agent@3b192d32,null,
2,1000,structures.Agent@48cf768c,structures.Agent@782830e,null,
2,1000,structures.Agent@59f95c5d,structures.Agent@71bc1ae4,null,
