% Base Parameters: useNetwork = true, networkType = random, networkSplit = 20,20,60, meanK = 3, active = 1, distance = .2, initialProtesters = .2, initialSensitivity = .7, n = 100, gridWidth = 100, gridHeight = 100, 

% Random Parameters: 
% Test Parameters:
% ,,,Results
Seed,Timestep,Agent#,Agent,sensitivity,signal,
3,1000,36,structures.Agent@6d1e7682,1.0,0.0,
3,1000,37,structures.Agent@424c0bc4,1.0,0.0,
3,1000,38,structures.Agent@3c679bde,1.0,0.0,
3,1000,39,structures.Agent@16b4a017,1.0,0.0,
3,1000,40,structures.Agent@8807e25,1.0,0.0,
3,1000,41,structures.Agent@2a3046da,1.0,0.0,
3,1000,42,structures.Agent@2a098129,1.0,0.0,
3,1000,43,structures.Agent@198e2867,1.0,0.0,
3,1000,44,structures.Agent@12f40c25,1.0,0.0,
3,1000,45,structures.Agent@3ada9e37,1.0,0.0,
3,1000,46,structures.Agent@5cbc508c,1.0,0.0,
3,1000,47,structures.Agent@3419866c,1.0,0.0,
3,1000,48,structures.Agent@63e31ee,1.0,0.0,
3,1000,49,structures.Agent@68fb2c38,1.0,0.0,
3,1000,50,structures.Agent@567d299b,1.0,0.0,
3,1000,51,structures.Agent@2eafffde,1.0,0.0,
3,1000,52,structures.Agent@59690aa4,1.0,0.0,
3,1000,53,structures.Agent@6842775d,1.0,0.0,
3,1000,54,structures.Agent@574caa3f,1.0,0.0,
3,1000,55,structures.Agent@64cee07,1.0,0.0,
3,1000,56,structures.Agent@1761e840,1.0,0.0,
3,1000,57,structures.Agent@6c629d6e,1.0,0.0,
3,1000,58,structures.Agent@5ecddf8f,1.0,0.0,
3,1000,59,structures.Agent@3f102e87,1.0,0.0,
3,1000,60,structures.Agent@27abe2cd,1.0,0.0,
3,1000,61,structures.Agent@5f5a92bb,1.0,0.0,
3,1000,62,structures.Agent@6fdb1f78,1.0,0.0,
3,1000,63,structures.Agent@51016012,1.0,0.0,
3,1000,64,structures.Agent@29444d75,0.6796242717123626,0.0,
3,1000,65,structures.Agent@2280cdac,1.0,0.0,
3,1000,66,structures.Agent@1517365b,1.0,0.0,
3,1000,67,structures.Agent@4fccd51b,1.0,0.0,
3,1000,68,structures.Agent@44e81672,1.0,0.0,
3,1000,69,structures.Agent@60215eee,1.0,0.0,
3,1000,70,structures.Agent@4ca8195f,1.0,0.0,
3,1000,71,structures.Agent@65e579dc,1.0,0.0,
3,1000,72,structures.Agent@61baa894,1.0,0.0,
3,1000,73,structures.Agent@b065c63,0.7305352961560416,0.0,
3,1000,74,structures.Agent@768debd,1.0,0.0,
3,1000,75,structures.Agent@490d6c15,1.0,0.0,
3,1000,76,structures.Agent@7d4793a8,1.0,0.0,
3,1000,77,structures.Agent@449b2d27,1.0,0.0,
3,1000,78,structures.Agent@5479e3f,0.6624055654684309,0.0,
3,1000,79,structures.Agent@27082746,1.0,0.0,
3,1000,80,structures.Agent@66133adc,1.0,0.0,
3,1000,81,structures.Agent@7bfcd12c,1.0,0.0,
3,1000,82,structures.Agent@42f30e0a,0.7033439499844831,0.0,
3,1000,83,structures.Agent@24273305,1.0,0.0,
3,1000,84,structures.Agent@5b1d2887,1.0,0.0,
3,1000,85,structures.Agent@46f5f779,1.0,0.0,
3,1000,86,structures.Agent@1c2c22f3,1.0,0.0,
3,1000,87,structures.Agent@18e8568,1.0,0.0,
3,1000,88,structures.Agent@33e5ccce,1.0,0.0,
3,1000,89,structures.Agent@5a42bbf4,1.0,0.0,
3,1000,90,structures.Agent@270421f5,1.0,0.0,
3,1000,91,structures.Agent@52d455b8,1.0,0.0,
3,1000,92,structures.Agent@4f4a7090,1.0,0.0,
3,1000,93,structures.Agent@18ef96,1.0,0.0,
3,1000,94,structures.Agent@6956de9,1.0,0.0,
3,1000,95,structures.Agent@769c9116,1.0,0.0,
3,1000,96,structures.Agent@6aceb1a5,0.6978789203571412,0.0,
3,1000,97,structures.Agent@2d6d8735,1.0,0.0,
3,1000,98,structures.Agent@ba4d54,1.0,0.0,
3,1000,99,structures.Agent@12bc6874,1.0,0.0,
4,1000,0,structures.Agent@de0a01f,1.0,0.0,
4,1000,1,structures.Agent@4c75cab9,1.0,1.0,
4,1000,2,structures.Agent@1ef7fe8e,1.0,1.0,
4,1000,3,structures.Agent@6f79caec,1.0,1.0,
4,1000,4,structures.Agent@67117f44,1.0,0.0,
4,1000,5,structures.Agent@5d3411d,1.0,1.0,
4,1000,6,structures.Agent@2471cca7,1.0,0.0,
4,1000,7,structures.Agent@5fe5c6f,1.0,0.0,
4,1000,8,structures.Agent@6979e8cb,1.0,0.0,
4,1000,9,structures.Agent@763d9750,1.0,1.0,
4,1000,10,structures.Agent@5c0369c4,1.0,1.0,
4,1000,11,structures.Agent@2be94b0f,1.0,0.0,
4,1000,12,structures.Agent@d70c109,1.0,1.0,
4,1000,13,structures.Agent@17ed40e0,1.0,1.0,
4,1000,14,structures.Agent@50675690,1.0,0.0,
4,1000,15,structures.Agent@31b7dea0,1.0,0.0,
4,1000,16,structures.Agent@3ac42916,1.0,0.0,
4,1000,17,structures.Agent@47d384ee,1.0,1.0,
4,1000,18,structures.Agent@2d6a9952,1.0,0.0,
4,1000,19,structures.Agent@22a71081,1.0,1.0,
4,1000,20,structures.Agent@3930015a,1.0,0.0,
4,1000,21,structures.Agent@629f0666,1.0,0.0,
4,1000,22,structures.Agent@1bc6a36e,0.6892715641232475,-1.0,
4,1000,23,structures.Agent@1ff8b8f,1.0,0.0,
4,1000,24,structures.Agent@387c703b,1.0,0.0,
4,1000,25,structures.Agent@224aed64,1.0,0.0,
4,1000,26,structures.Agent@c39f790,1.0,0.0,
4,1000,27,structures.Agent@71e7a66b,1.0,0.0,
4,1000,28,structures.Agent@2ac1fdc4,1.0,0.0,
4,1000,29,structures.Agent@5f150435,1.0,0.0,
4,1000,30,structures.Agent@1c53fd30,1.0,0.0,
4,1000,31,structures.Agent@50cbc42f,1.0,0.0,
4,1000,32,structures.Agent@75412c2f,1.0,0.0,
4,1000,33,structures.Agent@282ba1e,1.0,0.0,
4,1000,34,structures.Agent@13b6d03,1.0,0.0,
4,1000,35,structures.Agent@f5f2bb7,1.0,0.0,
4,1000,36,structures.Agent@73035e27,1.0,0.0,
4,1000,37,structures.Agent@64c64813,1.0,0.0,
4,1000,38,structures.Agent@3ecf72fd,1.0,0.0,
4,1000,39,structures.Agent@483bf400,1.0,0.0,
4,1000,40,structures.Agent@21a06946,1.0,0.0,
